iter	Passed	Remaining
400	16232	24247
401	16269	24201
402	16306	24155
403	16346	24114
404	16386	24074
405	16424	24030
406	16467	23993
407	16508	23953
408	16545	23908
409	16588	23871
410	16630	23832
411	16669	23790
412	16709	23749
413	16750	23709
414	16790	23668
415	16834	23632
416	16876	23594
417	16915	23551
418	16967	23527
419	17009	23489
420	17056	23458
421	17101	23423
422	17143	23384
423	17183	23343
424	17232	23314
425	17275	23277
426	17312	23231
427	17359	23199
428	17405	23166
429	17450	23131
430	17491	23092
431	17535	23055
432	17576	23016
433	17621	22980
434	17665	22945
435	17707	22906
436	17748	22865
437	17791	22828
438	17835	22791
439	17874	22749
440	17916	22710
441	17958	22671
442	18002	22634
443	18042	22594
444	18089	22560
445	18133	22524
446	18180	22492
447	18220	22450
448	18258	22406
449	18299	22366
450	18339	22324
451	18383	22288
452	18421	22244
453	18462	22204
454	18511	22173
455	18552	22133
456	18597	22097
457	18638	22057
458	18675	22011
459	18720	21975
460	18762	21936
461	18801	21894
462	18846	21858
463	18888	21819
464	18932	21783
465	18982	21752
466	19026	21715
467	19060	21666
468	19100	21625
469	19142	21586
470	19194	21558
471	19243	21527
472	19291	21493
473	19338	21460
474	19384	21424
475	19426	21385
476	19472	21350
477	19520	21317
478	19571	21287
479	19616	21250
480	19658	21211
481	19704	21176
482	19751	21141
483	19789	21098
484	19832	21059
485	19874	21019
486	19911	20974
487	19954	20935
488	19997	20897
489	20032	20850
490	20068	20803
491	20112	20766
492	20154	20726
493	20193	20684
494	20237	20646
495	20276	20603
496	20315	20560
497	20356	20519
498	20400	20481
499	20448	20448
500	20485	20404
501	20529	20366
502	20577	20332
503	20623	20296
504	20663	20254
505	20707	20216
506	20750	20177
507	20792	20137
508	20831	20094
509	20872	20053
510	20912	20011
511	20955	19973
512	20993	19929
513	21029	19883
514	21068	19841
515	21110	19801
516	21152	19761
517	21193	19720
518	21230	19676
519	21270	19634
520	21305	19587
521	21345	19546
522	21383	19503
523	21422	19459
524	21460	19416
525	21506	19379
526	21550	19342
527	21596	19306
528	21639	19267
529	21680	19226
530	21723	19186
531	21761	19143
532	21795	19097
533	21830	19050
534	21869	19007
535	21907	18964
536	21946	18922
537	21987	18881
538	22022	18835
539	22060	18791
540	22096	18747
541	22133	18703
542	22170	18659
543	22212	18619
544	22248	18574
545	22288	18533
546	22332	18495
547	22374	18454
548	22419	18417
549	22465	18381
550	22509	18342
551	22547	18299
552	22586	18256
553	22632	18220
554	22675	18181
555	22712	18137
556	22747	18091
557	22787	18050
558	22827	18009
559	22870	17969
560	22907	17926
561	22947	17884
562	22986	17842
563	23025	17799
564	23068	17760
565	23110	17720
566	23148	17677
567	23191	17638
568	23233	17598
569	23274	17557
570	23312	17515
571	23355	17475
572	23391	17431
573	23436	17393
574	23474	17350
575	23513	17308
576	23550	17265
577	23594	17226
578	23637	17187
579	23677	17145
580	23717	17104
581	23754	17060
582	23796	17020
583	23838	16980
584	23878	16939
585	23920	16899
586	23962	16859
587	24008	16822
588	24052	16783
589	24093	16742
590	24128	16698
591	24165	16654
592	24207	16614
593	24248	16574
594	24283	16529
595	24324	16488
596	24363	16446
597	24405	16406
598	24440	16361
599	24477	16318
600	24517	16277
601	24554	16233
602	24592	16190
603	24628	16147
604	24671	16107
605	24713	16067
606	24756	16028
607	24799	15989
608	24840	15948
609	24880	15907
610	24921	15866
611	24960	15824
612	25000	15783
613	25037	15740
614	25077	15698
615	25120	15659
616	25158	15616
617	25197	15575
618	25233	15531
619	25277	15492
620	25319	15452
621	25362	15412
622	25401	15371
623	25442	15330
624	25476	15286
625	25516	15244
626	25551	15200
627	25588	15157
628	25624	15113
629	25664	15072
630	25710	15035
631	25751	14994
632	25788	14951
633	25829	14910
634	25869	14870
635	25911	14829
636	25948	14787
637	25990	14747
638	26027	14704
639	26067	14663
640	26110	14623
641	26148	14581
642	26188	14539
643	26223	14496
644	26265	14456
645	26303	14414
646	26347	14375
647	26385	14333
648	26427	14292
649	26464	14250
650	26505	14209
651	26546	14169
652	26587	14128
653	26628	14087
654	26670	14047
655	26715	14009
656	26757	13969
657	26807	13933
658	26851	13894
659	26889	13852
660	26931	13812
661	26970	13770
662	27009	13729
663	27048	13687
664	27085	13644
665	27122	13601
666	27157	13558
667	27201	13519
668	27241	13478
669	27281	13436
670	27319	13395
671	27366	13357
672	27405	13315
673	27446	13275
674	27485	13233
675	27524	13192
676	27567	13152
677	27603	13109
678	27645	13069
679	27691	13031
680	27727	12988
681	27771	12949
682	27811	12908
683	27850	12866
684	27889	12825
685	27931	12785
686	27972	12744
687	28010	12702
688	28047	12659
689	28088	12619
690	28132	12580
691	28169	12538
692	28211	12497
693	28252	12457
694	28293	12416
695	28330	12374
696	28372	12333
697	28415	12294
698	28453	12252
699	28496	12212
700	28536	12171
701	28575	12130
702	28616	12089
703	28660	12050
704	28699	12009
705	28739	11967
706	28779	11927
707	28823	11887
708	28862	11846
709	28903	11805
710	28939	11762
711	28976	11720
712	29014	11678
713	29046	11634
714	29088	11594
715	29130	11554
716	29171	11514
717	29208	11471
718	29246	11430
719	29288	11390
720	29332	11350
721	29374	11310
722	29413	11269
723	29454	11228
724	29494	11187
725	29532	11146
726	29571	11104
727	29611	11063
728	29652	11022
729	29697	10983
730	29740	10944
731	29780	10903
732	29818	10861
733	29852	10818
734	29893	10777
735	29931	10736
736	29975	10696
737	30014	10655
738	30055	10615
739	30097	10574
740	30136	10533
741	30172	10491
742	30212	10450
743	30253	10409
744	30291	10368
745	30336	10328
746	30377	10288
747	30419	10248
748	30457	10206
749	30499	10166
750	30540	10126
751	30579	10084
752	30618	10043
753	30659	10002
754	30702	9962
755	30740	9921
756	30775	9879
757	30811	9837
758	30852	9796
759	30894	9756
760	30931	9714
761	30969	9672
762	31013	9633
763	31051	9591
764	31094	9552
765	31131	9510
766	31172	9469
767	31210	9428
768	31248	9386
769	31286	9345
770	31323	9303
771	31373	9265
772	31411	9224
773	31450	9183
774	31490	9142
775	31530	9101
776	31570	9060
777	31611	9020
778	31656	8980
779	31697	8940
780	31740	8900
781	31779	8859
782	31817	8817
783	31859	8777
784	31901	8737
785	31935	8694
786	31975	8654
787	32012	8612
788	32053	8571
789	32096	8531
790	32136	8491
791	32176	8450
792	32216	8409
793	32295	8379
794	32362	8345
795	32418	8308
796	32471	8270
797	32512	8229
798	32558	8190
799	32600	8150
800	32643	8109
801	32684	8069
802	32721	8027
803	32765	7987
804	32807	7947
805	32852	7907
806	32892	7866
807	32928	7824
808	32967	7783
809	33009	7742
810	33051	7702
811	33093	7661
812	33134	7621
813	33180	7581
814	33219	7540
815	33257	7499
816	33302	7459
817	33341	7418
818	33380	7377
819	33422	7336
820	33465	7296
821	33502	7254
822	33545	7214
823	33591	7174
824	33631	7133
825	33677	7094
826	33715	7052
827	33757	7012
828	33795	6971
829	33834	6929
830	33876	6889
831	33912	6847
832	33949	6806
833	33995	6766
834	34041	6726
835	34079	6685
836	34115	6643
837	34161	6604
838	34198	6562
839	34239	6521
840	34282	6481
841	34323	6440
842	34368	6400
843	34406	6359
844	34450	6319
845	34496	6279
846	34537	6238
847	34574	6197
848	34614	6156
849	34651	6115
850	34694	6074
851	34735	6033
852	34776	5993
853	34816	5952
854	34858	5911
855	34893	5870
856	34935	5829
857	34980	5789
858	35027	5749
859	35064	5708
860	35107	5667
861	35145	5626
862	35184	5585
863	35225	5544
864	35264	5503
865	35306	5463
866	35347	5422
867	35388	5381
868	35426	5340
869	35462	5299
870	35500	5257
871	35540	5216
872	35584	5176
873	35622	5135
874	35663	5094
875	35705	5054
876	35746	5013
877	35786	4972
878	35823	4931
879	35863	4890
880	35906	4849
881	35948	4809
882	35987	4768
883	36028	4727
884	36069	4686
885	36111	4646
886	36156	4606
887	36200	4565
888	36238	4524
889	36275	4483
890	36319	4443
891	36362	4402
892	36401	4361
893	36441	4320
894	36479	4279
895	36518	4238
896	36560	4198
897	36608	4158
898	36649	4117
899	36692	4076
900	36729	4035
901	36767	3994
902	36809	3954
903	36847	3912
904	36887	3872
905	36930	3831
906	36973	3791
907	37009	3749
908	37045	3708
909	37079	3667
910	37122	3626
911	37160	3585
912	37200	3544
913	37241	3504
914	37275	3462
915	37319	3422
916	37366	3382
917	37404	3341
918	37441	3300
919	37478	3259
920	37520	3218
921	37562	3177
922	37599	3136
923	37637	3095
924	37674	3054
925	37711	3013
926	37753	2973
927	37794	2932
928	37837	2891
929	37882	2851
930	37919	2810
931	37962	2769
932	38006	2729
933	38049	2688
934	38086	2647
935	38120	2606
936	38160	2565
937	38199	2524
938	38236	2483
939	38279	2443
940	38321	2402
941	38359	2361
942	38398	2321
943	38435	2280
944	38474	2239
945	38519	2198
946	38558	2157
947	38600	2117
948	38637	2076
949	38670	2035
950	38706	1994
951	38748	1953
952	38786	1912
953	38835	1872
954	38880	1832
955	38919	1791
956	38961	1750
957	39002	1709
958	39044	1669
959	39081	1628
960	39121	1587
961	39163	1547
962	39207	1506
963	39244	1465
964	39283	1424
965	39322	1384
966	39364	1343
967	39408	1302
968	39451	1262
969	39493	1221
970	39530	1180
971	39567	1139
972	39610	1099
973	39644	1058
974	39686	1017
975	39726	976
976	39766	936
977	39804	895
978	39846	854
979	39884	813
980	39930	773
981	39975	732
982	40019	692
983	40056	651
984	40092	610
985	40127	569
986	40167	529
987	40204	488
988	40238	447
989	40279	406
990	40322	366
991	40362	325
992	40404	284
993	40446	244
994	40483	203
995	40523	162
996	40566	122
997	40607	81
998	40646	40
999	40688	0
