iter	MultiClass
266	0.9283332327
267	0.9282229991
268	0.9280990481
269	0.9279950182
270	0.9277490048
271	0.9275211038
272	0.9273453958
273	0.92719282
274	0.9270788594
275	0.9269673847
276	0.9267890776
277	0.9265606455
278	0.9264316789
279	0.9262581541
280	0.9261466677
281	0.9260228001
282	0.9258891552
283	0.9257688634
284	0.9256459664
285	0.9254634874
286	0.9253079205
287	0.9252120221
288	0.9251002682
289	0.9249220944
290	0.9247921088
291	0.9246856648
292	0.9244584554
293	0.9243178376
294	0.9241193342
295	0.9240412262
296	0.9238449953
297	0.9237509362
298	0.9236470783
299	0.9235451582
300	0.9233724477
301	0.9233052214
302	0.9232173549
303	0.923084728
304	0.9229571494
305	0.9228369633
306	0.9227840349
307	0.9226305699
308	0.9224281608
309	0.9222902931
310	0.9221370813
311	0.921911552
312	0.9217678641
313	0.9215914525
314	0.9214282378
315	0.9212308273
316	0.9210889137
317	0.9209476054
318	0.9208088011
319	0.9205435439
320	0.9204133711
321	0.9202543356
322	0.9201137164
323	0.9199843992
324	0.9198358343
325	0.9197202509
326	0.919547248
327	0.9194279004
328	0.9192933756
329	0.9191254881
330	0.918999211
331	0.9188579942
332	0.918748163
333	0.9186218842
334	0.9185211191
335	0.9183944535
336	0.9182391159
337	0.9181044155
338	0.9179779583
339	0.9178783007
340	0.9177830395
341	0.9176291419
342	0.9175055689
343	0.9173882122
344	0.9172700793
345	0.9171520829
346	0.9171124893
347	0.9169840266
348	0.9168273923
349	0.9167028102
350	0.9165887775
351	0.916429607
352	0.9162592171
353	0.9160886604
354	0.9158869167
355	0.9158186922
356	0.9156739247
357	0.915513185
358	0.9153195632
359	0.9151385318
360	0.915085165
361	0.9149512722
362	0.914768354
363	0.9146185083
364	0.9144747737
365	0.9143590299
366	0.9142835438
367	0.9141855097
368	0.9141109714
369	0.9140227486
370	0.9138826627
371	0.9137948176
372	0.9136153683
373	0.9135059979
374	0.9133915646
375	0.9133010213
376	0.9131852396
377	0.9131155338
378	0.912956255
379	0.9128903142
380	0.9127757531
381	0.9125582424
382	0.9124543463
383	0.912319722
384	0.9121828851
385	0.9120826614
386	0.9118970032
387	0.9117921723
388	0.9116813249
389	0.9115825362
390	0.9114393326
391	0.9113355903
392	0.9112212332
393	0.9111170035
394	0.9110154081
395	0.9109056566
396	0.9107720618
397	0.9106461156
398	0.9104572018
399	0.9103385636
400	0.9102106394
401	0.9100957242
402	0.9099126595
403	0.9097991729
404	0.9096133682
405	0.9095050635
406	0.9093394572
407	0.9092662233
408	0.9091538058
409	0.9090633878
410	0.9089239597
411	0.9087806119
412	0.908652045
413	0.9084894128
414	0.908340598
415	0.9082213641
416	0.9080827946
417	0.9079949427
418	0.9078073988
419	0.9076725832
420	0.9075594511
421	0.9073987031
422	0.9072355889
423	0.9071620589
424	0.9070317889
425	0.9068777601
426	0.9067778235
427	0.9066737726
428	0.9065788811
429	0.9064869106
430	0.9064247304
431	0.9062704901
432	0.9062066534
433	0.9060706118
434	0.9059578688
435	0.9058737924
436	0.9057529321
437	0.9056133656
438	0.9054452651
439	0.9052931474
440	0.9051748076
441	0.9050317497
442	0.9049281187
443	0.9048288866
444	0.9046879659
445	0.9045824506
446	0.9044918839
447	0.9043636832
448	0.9042710926
449	0.9042088822
450	0.9041230906
451	0.9039188596
452	0.9038162512
453	0.9037071532
454	0.9036023711
455	0.9034882051
456	0.9033838983
457	0.9032435227
458	0.9031203093
459	0.9029593937
460	0.9028452277
461	0.9027474361
462	0.902632106
463	0.9025160318
464	0.9024101458
465	0.9023057815
466	0.9021639513
467	0.9020848611
468	0.9019841074
469	0.9018823217
470	0.9017802878
471	0.9016411616
472	0.9015429855
473	0.9014311388
474	0.9013222936
475	0.9012441513
476	0.9012036425
477	0.9011126308
478	0.9009787328
479	0.9008236188
480	0.9006999248
481	0.9005782421
482	0.9004834589
483	0.9003639873
484	0.9002420041
485	0.9001160478
486	0.9000346879
487	0.8998703676
488	0.899739012
489	0.8996608832
490	0.8996014737
491	0.8994188284
492	0.8992826691
493	0.8991654544
494	0.8990701923
495	0.8989500784
496	0.8988338431
497	0.898729695
498	0.8985879212
499	0.8984134679
500	0.8983056436
501	0.8981331057
502	0.8980101512
503	0.8979462728
504	0.8978187915
505	0.8977035841
506	0.897576991
507	0.8975054093
508	0.8973479558
509	0.8972268202
510	0.897136997
511	0.896988846
512	0.8969073622
513	0.8968266271
514	0.8966822699
515	0.8965292509
516	0.8964322248
517	0.8963401326
518	0.8962339382
519	0.8961429175
520	0.8960732456
521	0.8959183242
522	0.8957792786
523	0.8957224848
524	0.8956557186
525	0.8955411045
526	0.8954335161
527	0.8953083721
528	0.8952501756
529	0.8951217525
530	0.8950131701
531	0.8948718284
532	0.8948110774
533	0.8947209806
534	0.8946248032
535	0.8945635868
536	0.8944803438
537	0.8943469454
538	0.8942683814
539	0.8941617967
540	0.8940879178
541	0.8939899021
542	0.8939173461
543	0.8937379101
544	0.8936171493
545	0.8934930815
546	0.8933785177
547	0.8932508434
548	0.8931538378
549	0.8930306112
550	0.8929350714
551	0.8927877291
552	0.8926596256
553	0.8925611251
554	0.8924374325
555	0.8923616232
556	0.8922940771
557	0.8921609345
558	0.8920441556
559	0.8919058459
560	0.8917683005
561	0.8916749528
562	0.8915634037
563	0.8914999207
564	0.8914304058
565	0.8913211799
566	0.8912252873
567	0.8910843494
568	0.8909693878
569	0.8908873968
570	0.89080249
571	0.890694789
572	0.8906160811
573	0.8905158099
574	0.8903736697
575	0.8902495276
576	0.8901429109
577	0.8900254888
578	0.8899264445
579	0.889835293
580	0.889764661
581	0.8896765771
582	0.8895215657
583	0.8894323554
584	0.8892968227
585	0.8892170965
586	0.8891179889
587	0.8890204724
588	0.888887738
589	0.8887602451
590	0.8885896048
591	0.8884945901
592	0.8883771252
593	0.8882358493
594	0.8881778012
595	0.8880545453
596	0.8879406627
597	0.8878526446
598	0.8877539248
599	0.8876672816
600	0.8875551414
601	0.8874297004
602	0.8873620578
603	0.8872855356
604	0.8871162921
605	0.8869556163
606	0.8868362269
607	0.8867137696
608	0.8866422203
609	0.8864861671
610	0.8862981943
611	0.8862264006
612	0.8860687242
613	0.8859899716
614	0.8858719378
615	0.8857658221
616	0.8856910535
617	0.8856315129
618	0.885541423
619	0.8854671732
620	0.8853844151
621	0.8852650141
622	0.8851906134
623	0.8850810604
624	0.8849735326
625	0.8848552773
626	0.8847747153
627	0.8846674763
628	0.8845611834
629	0.8844762447
630	0.8842840212
631	0.8841946638
632	0.8841233189
633	0.8840502677
634	0.8839847469
635	0.8838957132
636	0.8837879998
637	0.8837157386
638	0.8836275078
639	0.8835444942
640	0.8834078091
641	0.8833305369
642	0.8832166454
643	0.8831497091
644	0.8830314734
645	0.8829455302
646	0.8828160664
647	0.8827234616
648	0.8826227091
649	0.8825117743
650	0.8823526484
651	0.8821854237
652	0.882036787
653	0.8819230893
654	0.8818278893
655	0.8817081626
656	0.8816089736
657	0.8814611604
658	0.8813840923
659	0.881292757
660	0.8811994711
661	0.8811144368
662	0.8809748862
663	0.88087801
664	0.8807743231
665	0.8806762689
666	0.880573756
667	0.8804777254
668	0.8803887179
669	0.8802656666
670	0.8801520629
671	0.8799880194
672	0.8798768782
673	0.8797534457
674	0.8796820974
675	0.8795752678
676	0.8794366585
677	0.879332112
678	0.8792218895
679	0.8791188778
680	0.8790043851
681	0.8789478372
682	0.8788630589
683	0.878779876
684	0.8786682895
685	0.8785924
686	0.8785314056
687	0.8784330248
688	0.8783133815
689	0.8781825006
690	0.8780188719
691	0.8779419935
692	0.8778805108
693	0.877759658
694	0.8776460294
695	0.8775414852
696	0.8774300027
697	0.8772992095
698	0.8771956568
699	0.8771126154
700	0.8770005763
701	0.8769029845
702	0.8768378796
703	0.8767298392
704	0.8766422341
705	0.8765558297
706	0.8764386398
707	0.876364038
708	0.8762616797
709	0.8762003963
710	0.8761411722
711	0.8760307017
712	0.8759553435
713	0.8759074338
714	0.8758565472
715	0.8757147863
716	0.875587097
717	0.8755110084
718	0.8754216873
719	0.8753230794
720	0.8752052665
721	0.8750976356
722	0.8749965636
723	0.8748938443
724	0.8747399331
725	0.874630003
726	0.8745109202
727	0.8744019221
728	0.8742991405
729	0.8741963117
730	0.8741014164
731	0.874001536
732	0.8738590739
733	0.8737753302
734	0.8737027725
735	0.8736115378
736	0.8734676502
737	0.8733837602
738	0.8733050947
739	0.8731759181
740	0.8730680666
741	0.8729999553
742	0.8728945557
743	0.8727893575
744	0.8727346574
745	0.8725715732
746	0.8724514236
747	0.8723134638
748	0.8722156064
749	0.8720986443
750	0.8719784992
751	0.8718517462
752	0.8717253729
753	0.8715882727
754	0.8715224806
755	0.8713901864
756	0.8712937731
757	0.871210374
758	0.8711185944
759	0.8710513261
760	0.8709617093
761	0.8708659273
762	0.8707822691
763	0.87072025
764	0.8706182345
765	0.8705232684
766	0.8704053484
767	0.8702785837
768	0.8701847058
769	0.8700853712
770	0.8699956109
771	0.8698494618
772	0.869808193
773	0.8697126277
774	0.8696530408
775	0.8695324955
776	0.8694040313
777	0.8693113184
778	0.8691834813
779	0.8691021714
780	0.8690226028
781	0.8689686772
782	0.8689121716
783	0.8688209115
784	0.8687263797
785	0.8686694529
786	0.8685447137
787	0.8684610737
788	0.868362025
789	0.8682390315
790	0.8680850131
791	0.8679807651
792	0.8678991552
793	0.8677437861
794	0.8676237983
795	0.8675396547
796	0.8674318383
797	0.8673442496
798	0.8672481646
799	0.867174515
800	0.8670167244
801	0.8668648229
802	0.866730184
803	0.8666200589
804	0.8665257912
805	0.8664636093
806	0.8663896695
807	0.8662986687
808	0.8661846666
809	0.8661156654
810	0.8660359947
811	0.8659566396
812	0.8658571695
813	0.8657900746
814	0.8657208231
815	0.8656297468
816	0.865565128
817	0.8654938575
818	0.8653921673
819	0.8652885471
820	0.865184357
821	0.8651268432
822	0.865023852
823	0.8649174653
824	0.8647905438
825	0.8646806374
826	0.8645787543
827	0.8644757498
828	0.8644048505
829	0.8643522583
830	0.8642255223
831	0.8641603137
832	0.8640848218
833	0.8639835623
834	0.8638841777
835	0.8637785883
836	0.8637264741
837	0.8636519807
838	0.8635817203
839	0.8635234717
840	0.8634262581
841	0.8633120093
842	0.8632203191
843	0.8631237341
844	0.8630215175
845	0.8628954521
846	0.8628006652
847	0.8627499264
848	0.8626714931
849	0.8625475098
850	0.8624299886
851	0.8623061376
852	0.8622310026
853	0.8621427504
854	0.8620507965
855	0.861940168
856	0.8618385446
857	0.861754067
858	0.8616575148
859	0.8615989917
860	0.8615202471
861	0.8614185503
862	0.8613317708
863	0.8612620839
864	0.8611672397
865	0.8610792944
866	0.8610023123
867	0.8609008045
868	0.8608433897
869	0.8607472389
870	0.8606321346
871	0.8605304992
872	0.860426149
873	0.8603432823
874	0.8602543774
875	0.8601603275
876	0.8600219039
877	0.8598919813
878	0.8597962583
879	0.8597282286
880	0.859645838
881	0.8595723853
882	0.8594602115
883	0.8593602089
884	0.8592413641
885	0.8591725999
886	0.8590955124
887	0.8590123515
888	0.8588742867
889	0.8587469994
890	0.858647085
891	0.8585618233
892	0.858466648
893	0.8583740898
894	0.8582752634
895	0.8582029284
896	0.8581095289
897	0.8579346174
898	0.8578510447
899	0.8577730534
900	0.8576521845
901	0.8575596412
902	0.8574354968
903	0.8573711246
904	0.8572686851
905	0.857118583
906	0.8569765978
907	0.856888744
908	0.8568357434
909	0.8567436965
910	0.8566077442
911	0.8565068158
912	0.8563816248
913	0.8562919398
914	0.8562051763
915	0.8560931257
916	0.8560022374
917	0.8558701543
918	0.8558322417
919	0.8557355682
920	0.8556594742
921	0.8555434786
922	0.8554652206
923	0.855405736
924	0.8552380737
925	0.8551320654
926	0.8550474467
927	0.8549332214
928	0.8548665224
929	0.8547411467
930	0.8546311237
931	0.8544922054
932	0.8543903388
933	0.8543194472
934	0.854249564
935	0.8541840476
936	0.8540845147
937	0.8540019517
938	0.8539523426
939	0.8538617991
940	0.853718996
941	0.8536571468
942	0.8535555912
943	0.8534706301
944	0.8533837529
945	0.8532656059
946	0.8531804013
947	0.853101515
948	0.8530730317
949	0.8530008324
950	0.8529108768
951	0.8528209548
952	0.8527498891
953	0.8526824321
954	0.8525930258
955	0.8524922071
956	0.8523691379
957	0.8522870415
958	0.8522138071
959	0.8521479119
960	0.8520922027
961	0.8520279086
962	0.8519185793
963	0.8518494458
964	0.8517593408
965	0.8516655561
966	0.8515685787
967	0.8514563723
968	0.8513568306
969	0.8512960368
970	0.8512021289
971	0.8511513586
972	0.8510375349
973	0.850967488
974	0.8508704116
975	0.8507774083
976	0.850686282
977	0.8505763305
978	0.8504600791
979	0.8503854937
980	0.8502710709
981	0.8501703561
982	0.8500817939
983	0.8500267193
984	0.8498938515
985	0.849832715
986	0.8497675061
987	0.8496970335
988	0.8496315012
989	0.8495670907
990	0.8494453258
991	0.8493410547
992	0.8492201385
993	0.8491178367
994	0.8490609284
995	0.848968867
996	0.8488507278
997	0.8487671515
998	0.8486382871
999	0.8485261847
